,location,total_sqft,bath,price,bhk
11944,Channasandra,1065.0,2.0,36.0,2
12868,Channasandra,1050.0,2.0,44.41,2
13176,Channasandra,1010.0,2.0,32.0,2
1,Chikka Tirupathi,2600.0,5.0,120.0,4
1265,Chikka Tirupathi,2325.0,4.0,120.0,4
1568,Chikka Tirupathi,1808.0,4.0,80.27,3
2675,Chikka Tirupathi,3297.0,3.0,135.0,3
2745,Chikka Tirupathi,3500.0,5.0,150.0,4
8719,Chikka Tirupathi,2646.0,3.0,99.0,3
8877,Chikka Tirupathi,2704.0,5.0,105.0,4
10018,Chikka Tirupathi,2325.0,3.0,95.0,3
11348,Chikka Tirupathi,2325.0,4.0,120.0,4
11792,Chikka Tirupathi,3250.0,4.0,136.0,4
12959,Chikka Tirupathi,2665.0,5.0,125.0,4
556,Chikkabanavar,950.0,2.0,40.0,2
1617,Chikkabanavar,1600.0,2.0,80.0,3
6329,Chikkabanavar,600.0,1.0,25.0,2
7709,Chikkabanavar,2460.0,7.0,80.0,4
9999,Chikkabanavar,2400.0,4.0,97.0,5
11380,Chikkabanavar,2000.0,4.0,65.0,5
12145,Chikkabanavar,1067.0,2.0,38.0,2
12761,Chikkabanavar,1320.0,2.0,46.0,3
13187,Chikkabanavar,4000.0,7.0,110.0,8
464,Chikkalasandra,1100.0,2.0,50.0,2
487,Chikkalasandra,1208.0,2.0,49.0,2
642,Chikkalasandra,875.0,2.0,52.8,2
1809,Chikkalasandra,1800.0,1.0,128.0,2
2808,Chikkalasandra,1070.0,2.0,50.0,2
3452,Chikkalasandra,1230.0,2.0,48.0,2
4442,Chikkalasandra,1428.0,2.0,80.0,3
4618,Chikkalasandra,1070.0,2.0,42.8,2
6497,Chikkalasandra,1075.0,2.0,46.76,2
8681,Chikkalasandra,1070.0,2.0,45.48,2
8711,Chikkalasandra,1100.0,2.0,50.0,2
9215,Chikkalasandra,1224.0,2.0,45.0,2
10357,Chikkalasandra,1090.0,2.0,47.42,2
12466,Chikkalasandra,1325.0,2.0,59.0,2
12484,Chikkalasandra,1290.0,2.0,72.0,2
1126,Choodasandra,1115.0,2.0,50.0,2
1729,Choodasandra,1300.0,2.0,57.0,2
3959,Choodasandra,1530.0,3.0,77.0,3
4862,Choodasandra,1197.0,2.0,63.0,2
5825,Choodasandra,1465.0,3.0,75.0,3
6520,Choodasandra,1115.0,2.0,50.0,2
6551,Choodasandra,1215.0,2.0,59.0,2
6955,Choodasandra,1254.0,2.0,65.0,3
7339,Choodasandra,1580.0,3.0,105.0,3
8124,Choodasandra,725.0,2.0,36.0,2
8893,Choodasandra,2429.0,3.0,210.0,4
9174,Choodasandra,1075.0,2.0,45.0,2
9318,Choodasandra,1180.0,2.0,71.22,2
9500,Choodasandra,1140.0,2.0,62.0,2
11705,Choodasandra,1560.0,3.0,78.0,3
12533,Choodasandra,1065.0,2.0,46.0,2
12811,Choodasandra,1115.0,2.0,50.0,2
13069,Choodasandra,1115.0,2.0,50.0,2
3524,Cooke Town,3950.0,4.0,450.0,4
4228,Cooke Town,2388.0,4.0,239.0,3
5649,Cooke Town,1710.0,2.0,200.0,2
9142,Cooke Town,1310.0,2.0,111.0,2
9322,Cooke Town,3900.0,5.0,415.0,4
9772,Cooke Town,2560.0,4.0,310.0,3
10885,Cooke Town,2600.0,3.0,375.0,3
11662,Cooke Town,1100.0,2.0,90.0,2
12131,Cooke Town,2300.0,3.0,250.0,3
779,Cox Town,1975.0,3.0,150.0,3
3558,Cox Town,1650.0,3.0,100.0,3
4587,Cox Town,1730.0,3.0,140.0,3
7551,Cox Town,1600.0,3.0,150.0,3
8452,Cox Town,1250.0,2.0,95.0,2
9657,Cox Town,1280.0,2.0,120.0,2
10125,Cox Town,1073.0,2.0,72.0,2
10388,Cox Town,1000.0,2.0,58.0,2
13296,Cox Town,1200.0,2.0,140.0,2
743,Cunningham Road,5270.0,4.0,1250.0,4
2981,Cunningham Road,3875.0,3.0,864.0,3
3138,Cunningham Road,3875.0,3.0,800.0,3
4371,Cunningham Road,3815.0,3.0,763.0,3
6128,Cunningham Road,2880.0,3.0,501.0,3
7663,Cunningham Road,3489.0,3.0,662.0,3
8610,Cunningham Road,4170.0,3.0,800.0,3
10250,Cunningham Road,2700.0,3.0,501.0,3
10429,Cunningham Road,7500.0,6.0,1800.0,4
12087,Cunningham Road,2880.0,3.0,560.0,3
87,Dasanapura,708.0,2.0,37.0,2
438,Dasanapura,708.0,1.0,40.0,2
2569,Dasanapura,965.0,2.0,42.5,2
6460,Dasanapura,814.0,2.0,42.0,2
6845,Dasanapura,1163.0,2.0,65.0,2
9139,Dasanapura,1286.0,2.0,68.0,3
10537,Dasanapura,708.0,2.0,31.15,2
12189,Dasanapura,708.0,1.0,41.0,1
13204,Dasanapura,814.0,2.0,43.7,2
215,Dasarahalli,1295.0,2.0,65.0,2
4104,Dasarahalli,1150.0,2.0,70.0,2
5065,Dasarahalli,2100.0,3.0,120.0,3
7514,Dasarahalli,1220.0,2.0,52.0,2
7815,Dasarahalli,1375.0,2.0,60.0,2
11567,Dasarahalli,1333.0,2.0,78.56,2
11618,Dasarahalli,1220.0,2.0,62.0,2
56,Devanahalli,3210.0,2.6926096474673513,192.0,4
109,Devanahalli,1260.0,2.0,66.78,2
124,Devanahalli,1282.0,2.0,68.52,3
136,Devanahalli,1360.0,2.0,65.0,2
1241,Devanahalli,1408.0,2.0,85.0,2
1418,Devanahalli,1010.0,2.0,51.0,2
2692,Devanahalli,1080.0,2.0,53.35,2
3442,Devanahalli,2400.0,5.0,100.0,5
4025,Devanahalli,1174.0,2.0,59.0,2
5333,Devanahalli,3752.5,2.6926096474673513,177.115,2
5973,Devanahalli,658.0,1.0,34.0,1
6240,Devanahalli,658.0,1.0,26.91,1
6682,Devanahalli,698.5,1.0,28.57,1
7076,Devanahalli,1080.0,2.0,52.0,2
7412,Devanahalli,1700.0,3.0,88.2,3
7769,Devanahalli,1498.0,3.0,79.15,3
8211,Devanahalli,1466.0,3.0,77.59,3
8238,Devanahalli,775.0,1.0,39.0,1
8251,Devanahalli,1020.0,2.0,49.87,1
9331,Devanahalli,1550.0,3.0,85.0,3
9605,Devanahalli,1340.0,2.0,65.0,2
9667,Devanahalli,2125.0,3.0,107.0,3
10682,Devanahalli,658.0,1.0,26.91,1
12258,Devanahalli,1010.0,2.0,58.0,2
13240,Devanahalli,1075.0,2.6926096474673513,52.57,1
396,Dodda Nekkundi,1260.0,2.0,55.0,2
2411,Dodda Nekkundi,850.0,2.0,28.0,2
2633,Dodda Nekkundi,1390.0,2.0,60.0,2
2913,Dodda Nekkundi,1804.0,3.0,121.0,3
2935,Dodda Nekkundi,1080.0,2.0,50.0,2
3520,Dodda Nekkundi,1999.0,3.0,132.0,3
4116,Dodda Nekkundi,1100.0,2.0,48.0,2
4520,Dodda Nekkundi,1999.0,3.0,135.0,3
4707,Dodda Nekkundi,1100.0,2.0,41.15,2
4751,Dodda Nekkundi,1252.0,2.0,71.0,3
4921,Dodda Nekkundi,1155.0,2.0,46.0,2
5512,Dodda Nekkundi,1128.0,2.0,45.0,2
5955,Dodda Nekkundi,1148.0,2.0,56.0,2
6461,Dodda Nekkundi,1145.0,2.0,46.5,2
7023,Dodda Nekkundi,1829.0,3.0,125.0,3
7236,Dodda Nekkundi,1100.0,2.0,41.16,2
8751,Dodda Nekkundi,1100.0,2.0,46.75,2
9777,Dodda Nekkundi,1315.0,2.0,50.0,2
11119,Dodda Nekkundi,1135.0,2.0,58.0,2
11133,Dodda Nekkundi,1100.0,2.0,41.18,2
12499,Dodda Nekkundi,1370.0,2.0,60.0,2
12552,Dodda Nekkundi,1200.0,2.0,71.0,2
12778,Dodda Nekkundi,1585.0,2.0,79.0,3
12986,Dodda Nekkundi,1005.0,2.0,45.0,2
13024,Dodda Nekkundi,1264.0,2.0,52.0,2
2120,Doddaballapur,1690.0,3.0,80.0,4
2680,Doddaballapur,3000.0,2.0,120.0,3
3357,Doddaballapur,4200.0,4.0,325.0,4
3996,Doddaballapur,3876.0,3.0,300.0,3
4039,Doddaballapur,2776.0,4.0,195.0,3
10310,Doddaballapur,2440.0,3.0,142.0,3
11966,Doddaballapur,2400.0,3.0,200.0,4
12364,Doddaballapur,654.0,1.0,49.0,1
12438,Doddaballapur,3206.0,5.0,270.0,4
1547,Doddakallasandra,1010.0,2.0,40.39,2
6077,Doddakallasandra,1010.0,2.0,40.39,2
8918,Doddakallasandra,1072.0,2.0,42.87,2
9055,Doddakallasandra,1010.0,2.0,40.4,2
11087,Doddakallasandra,1010.0,2.0,41.0,2
12370,Doddakallasandra,1072.0,2.0,42.87,2
46,Doddathoguru,970.0,2.0,33.0,2
395,Doddathoguru,1050.0,2.0,32.0,2
1396,Doddathoguru,850.0,2.0,25.0,2
2822,Doddathoguru,1030.0,2.0,42.0,2
2933,Doddathoguru,1549.0,3.0,65.0,3
3710,Doddathoguru,550.0,1.0,17.0,1
3872,Doddathoguru,1015.0,2.0,33.5,2
3924,Doddathoguru,1104.0,2.0,39.0,2
4166,Doddathoguru,915.0,2.0,32.0,2
4827,Doddathoguru,750.0,1.0,25.5,1
6082,Doddathoguru,1595.0,3.0,62.0,3
7260,Doddathoguru,855.0,2.0,32.0,2
7560,Doddathoguru,1105.0,2.0,50.0,2
7696,Doddathoguru,925.0,2.0,30.0,2
10409,Doddathoguru,1208.0,3.0,45.0,3
12312,Doddathoguru,1100.0,2.0,50.0,2
12319,Doddathoguru,940.0,2.0,32.9,2
12546,Doddathoguru,1382.0,3.0,65.0,3
12996,Doddathoguru,1107.0,2.0,44.0,2
13166,Doddathoguru,907.0,2.0,40.0,2
13243,Doddathoguru,1783.0,3.0,85.0,3
13319,Doddathoguru,550.0,1.0,17.0,1
95,Domlur,1540.0,3.0,90.0,3
1750,Domlur,1875.0,2.0,150.0,3
1816,Domlur,1429.0,3.0,86.0,3
1907,Domlur,640.0,1.0,55.0,1
2327,Domlur,1050.0,2.0,85.0,2
2938,Domlur,1800.0,3.0,150.0,3
3877,Domlur,1720.0,3.0,135.0,3
4985,Domlur,1950.0,3.0,165.0,3
5714,Domlur,2180.0,3.0,285.0,3
7347,Domlur,650.0,1.0,70.0,1
7547,Domlur,780.0,1.0,70.0,1
7995,Domlur,2180.0,3.0,285.0,3
8812,Domlur,1740.0,3.0,120.0,3
8935,Domlur,1695.0,3.0,125.0,3
10301,Domlur,1246.0,2.0,95.0,2
10435,Domlur,2100.0,3.0,145.0,3
10470,Domlur,1276.0,2.0,80.0,2
11903,Domlur,1850.0,3.0,180.0,3
12151,Domlur,2955.0,3.0,235.0,3
12365,Domlur,1650.0,3.0,180.0,3
229,Dommasandra,805.0,2.0,22.14,2
1376,Dommasandra,1267.0,3.0,56.0,3
1511,Dommasandra,1200.0,2.0,50.0,2
3408,Dommasandra,2700.0,3.0,68.0,4
5035,Dommasandra,1153.0,2.0,43.5,2
7130,Dommasandra,1500.0,2.0,40.0,2
8037,Dommasandra,1090.0,2.0,43.5,2
8602,Dommasandra,850.0,2.0,25.4,2
10273,Dommasandra,674.0,1.0,19.9,2
10519,Dommasandra,999.0,2.0,32.9,2
84,EPIP Zone,1499.0,5.0,102.0,3
200,EPIP Zone,1285.0,2.0,82.0,2
739,EPIP Zone,2330.0,3.0,162.0,3
1156,EPIP Zone,1330.0,2.0,92.5,2
1537,EPIP Zone,1330.0,2.0,86.98,2
1736,EPIP Zone,1330.0,2.0,93.36,2
3735,EPIP Zone,1500.0,3.0,102.0,3
4054,EPIP Zone,1280.0,2.0,69.0,2
4259,EPIP Zone,1125.0,2.0,65.0,2
4477,EPIP Zone,1734.0,3.0,125.0,3
5604,EPIP Zone,1343.0,2.0,86.0,2
8731,EPIP Zone,2350.0,4.0,163.0,3
9044,EPIP Zone,1860.0,3.0,130.0,3
9122,EPIP Zone,2210.0,3.0,165.0,3
11970,EPIP Zone,2710.0,3.0,177.0,3
29,Electronic City,1025.0,2.0,47.0,3
167,Electronic City,1500.0,2.0,64.5,3
168,Electronic City,1060.0,2.0,60.0,2
172,Electronic City,1152.0,2.0,64.5,2
179,Electronic City,770.0,1.0,36.0,2
184,Electronic City,1070.0,2.0,52.0,2
187,Electronic City,1025.0,2.0,46.0,2
217,Electronic City,589.0,1.0,27.0,1
246,Electronic City,910.0,2.0,40.0,2
257,Electronic City,1108.0,2.0,63.0,2
321,Electronic City,1128.0,2.0,65.0,2
378,Electronic City,1800.0,3.0,95.0,3
447,Electronic City,630.0,1.0,34.65,1
494,Electronic City,1128.0,2.0,63.0,2
543,Electronic City,1599.0,3.0,99.0,3
764,Electronic City,1070.0,2.0,55.0,2
797,Electronic City,940.0,2.0,41.0,2
836,Electronic City,1128.0,2.0,68.75,2
869,Electronic City,1342.0,2.0,73.3,2
878,Electronic City,1360.0,2.0,71.0,3
1119,Electronic City,1265.0,2.0,56.93,2
1120,Electronic City,1691.0,2.0,102.0,3
1158,Electronic City,1128.0,2.0,65.49,2
1323,Electronic City,1070.0,2.0,56.1,2
1325,Electronic City,2000.0,4.0,120.0,4
1343,Electronic City,890.0,2.0,45.0,2
1468,Electronic City,1128.0,2.0,65.65,2
1487,Electronic City,865.0,2.0,42.0,2
1526,Electronic City,910.0,2.0,42.0,2
1788,Electronic City,1360.0,2.0,75.0,3
1813,Electronic City,770.0,1.0,40.0,2
1910,Electronic City,1128.0,2.0,64.0,2
2018,Electronic City,1070.0,2.0,54.0,2
2089,Electronic City,1571.0,3.0,89.0,3
2111,Electronic City,1111.0,3.0,50.0,3
2170,Electronic City,870.0,2.0,39.5,2
2671,Electronic City,1374.0,2.0,72.0,3
2948,Electronic City,1128.0,2.0,65.35,2
2979,Electronic City,1128.0,2.0,65.0,2
3001,Electronic City,755.0,1.0,34.0,2
3131,Electronic City,1563.0,3.0,91.84,3
3149,Electronic City,1652.0,3.0,70.0,3
3204,Electronic City,1025.0,2.0,54.5,2
3257,Electronic City,1070.0,2.0,46.0,2
3303,Electronic City,1350.0,3.0,58.0,3
3535,Electronic City,1700.0,3.0,75.0,3
3635,Electronic City,1128.0,2.0,68.0,2
3683,Electronic City,700.0,1.0,35.0,1
3701,Electronic City,1360.0,2.0,70.5,3
3760,Electronic City,1571.0,3.0,105.0,3
3839,Electronic City,1600.0,3.0,104.0,3
3953,Electronic City,1500.0,2.0,100.0,3
4082,Electronic City,1152.0,2.0,65.0,2
4118,Electronic City,1070.0,2.0,60.0,2
4134,Electronic City,1128.0,2.0,65.5,2
4184,Electronic City,1200.0,2.0,59.0,2
4319,Electronic City,1152.0,2.0,65.75,2
4511,Electronic City,1070.0,2.0,55.0,2
4542,Electronic City,1060.0,2.0,58.0,2
4630,Electronic City,1025.0,2.0,54.1,2
4830,Electronic City,1500.0,2.0,78.0,3
4839,Electronic City,1213.0,2.0,59.32,2
4869,Electronic City,1575.0,3.0,90.0,3
4893,Electronic City,1449.0,3.0,100.0,3
4989,Electronic City,1125.0,2.0,58.0,2
5043,Electronic City,1575.0,3.0,101.0,3
5154,Electronic City,550.0,1.0,12.0,1
5213,Electronic City,919.0,2.0,40.0,2
5222,Electronic City,1500.0,2.0,78.25,3
5303,Electronic City,1363.0,2.0,79.0,2
5482,Electronic City,1108.0,2.0,67.15,2
5552,Electronic City,1128.0,2.0,65.7,2
5567,Electronic City,1060.0,2.0,51.0,2
5690,Electronic City,1650.0,3.0,100.0,3
5723,Electronic City,1025.0,2.0,49.0,2
5755,Electronic City,1449.0,3.0,90.0,3
5803,Electronic City,1070.0,2.0,58.0,2
5808,Electronic City,1210.0,2.0,54.0,2
5810,Electronic City,1500.0,2.0,75.0,3
5904,Electronic City,1070.0,2.0,52.0,2
6013,Electronic City,2435.0,4.0,119.0,4
6260,Electronic City,1073.0,2.0,60.0,2
6288,Electronic City,1500.0,2.0,78.0,3
6305,Electronic City,1070.0,2.0,47.0,2
6429,Electronic City,1296.0,2.0,65.0,2
6588,Electronic City,1140.0,2.0,70.93,2
6909,Electronic City,2093.0,4.0,104.0,4
6934,Electronic City,1025.0,2.0,53.9,2
6963,Electronic City,940.0,2.0,54.0,2
6964,Electronic City,435.0,1.0,21.0,1
6966,Electronic City,1500.0,2.0,77.5,3
6989,Electronic City,1631.0,3.0,80.0,3
7068,Electronic City,1355.0,2.0,67.0,2
7405,Electronic City,435.0,1.0,22.0,1
7627,Electronic City,1039.0,2.0,50.0,2
7644,Electronic City,770.0,1.0,39.9,2
7948,Electronic City,1128.0,2.0,64.0,2
7978,Electronic City,605.0,1.0,13.31,1
8028,Electronic City,530.0,1.0,13.5,1
8042,Electronic City,1070.0,2.0,53.0,2
8264,Electronic City,1571.0,3.0,83.0,3
8300,Electronic City,1350.0,3.0,66.0,3
8337,Electronic City,1652.0,3.0,110.0,3
8553,Electronic City,1128.0,2.0,65.58,2
8802,Electronic City,635.0,1.0,28.0,1
8807,Electronic City,1128.0,2.0,65.4,2
8897,Electronic City,1355.0,2.0,72.9,2
9008,Electronic City,770.0,1.0,35.0,2
9236,Electronic City,865.0,2.0,40.0,2
9419,Electronic City,1108.0,2.0,63.0,2
9477,Electronic City,630.0,1.0,40.5,1
9642,Electronic City,605.0,1.0,22.0,1
9751,Electronic City,1070.0,2.0,48.0,2
9910,Electronic City,1360.0,2.0,70.0,3
9949,Electronic City,635.0,1.0,28.0,1
10062,Electronic City,1128.0,2.0,65.45,2
10081,Electronic City,890.0,2.0,40.0,2
10205,Electronic City,1360.0,2.0,58.0,3
10306,Electronic City,630.0,1.0,33.7,1
10476,Electronic City,1400.0,3.0,90.0,3
10513,Electronic City,1287.0,3.0,55.0,3
10572,Electronic City,1258.0,2.0,85.5,2
10574,Electronic City,1386.0,2.0,85.0,2
10587,Electronic City,1025.0,2.0,50.0,2
10640,Electronic City,1070.0,2.0,55.0,2
10727,Electronic City,1342.0,2.0,72.0,2
10747,Electronic City,1275.0,3.0,70.0,3
10755,Electronic City,770.0,1.0,38.0,2
10812,Electronic City,1644.0,3.0,92.59,3
10827,Electronic City,1250.0,2.0,62.0,2
10892,Electronic City,418.0,1.0,12.0,1
10920,Electronic City,1128.0,2.0,64.8,2
10961,Electronic City,1060.0,2.0,55.0,2
10994,Electronic City,710.0,1.0,40.42,1
11248,Electronic City,1275.0,3.0,63.43,3
11289,Electronic City,1518.0,3.0,75.0,3
11332,Electronic City,1090.0,2.0,31.48,1
11464,Electronic City,1060.0,2.0,55.0,2
11542,Electronic City,1353.0,2.0,75.0,2
11557,Electronic City,1128.0,2.0,67.0,2
11587,Electronic City,1070.0,2.0,57.0,2
11604,Electronic City,1700.0,3.0,90.0,3
11775,Electronic City,750.0,1.0,35.0,1
11824,Electronic City,1210.0,2.0,55.0,2
11916,Electronic City,1070.0,2.0,60.0,2
12083,Electronic City,1615.0,3.0,97.0,3
12259,Electronic City,1221.0,2.0,68.0,2
12399,Electronic City,1500.0,3.0,73.0,3
12429,Electronic City,995.0,2.0,48.0,2
12472,Electronic City,1342.0,2.0,90.0,2
12642,Electronic City,1128.0,2.0,63.5,2
12647,Electronic City,589.0,1.0,29.0,1
12766,Electronic City,1575.0,3.0,94.5,3
12834,Electronic City,1070.0,2.0,48.0,2
12837,Electronic City,1025.0,2.0,54.0,2
13008,Electronic City,1500.0,2.0,70.0,3
13009,Electronic City,1500.0,2.0,64.5,3
13129,Electronic City,2093.0,4.0,134.0,4
13185,Electronic City,1355.0,2.0,73.0,2
13222,Electronic City,1360.0,2.0,64.99,3
13297,Electronic City,1060.0,2.0,52.0,2
0,Electronic City Phase II,1056.0,2.0,39.07,2
155,Electronic City Phase II,1020.0,2.0,30.6,2
292,Electronic City Phase II,1069.0,2.0,45.0,2
354,Electronic City Phase II,630.0,1.0,28.35,1
527,Electronic City Phase II,1000.0,2.0,25.0,2
705,Electronic City Phase II,1090.0,2.0,28.34,2
753,Electronic City Phase II,2225.0,4.0,98.88,4
1147,Electronic City Phase II,775.0,2.0,38.0,2
1639,Electronic City Phase II,1266.0,2.0,59.0,2
1662,Electronic City Phase II,1000.0,2.0,28.88,2
1908,Electronic City Phase II,972.0,2.0,44.0,2
2090,Electronic City Phase II,1031.0,2.0,55.0,2
2098,Electronic City Phase II,1003.0,2.0,40.6,2
2438,Electronic City Phase II,1031.0,2.0,56.35,2
2612,Electronic City Phase II,1395.0,2.0,62.78,3
2969,Electronic City Phase II,1160.0,2.0,33.5,2
3327,Electronic City Phase II,1065.0,2.0,30.75,2
3399,Electronic City Phase II,1219.0,2.0,61.25,2
3648,Electronic City Phase II,1000.0,2.0,28.88,2
3709,Electronic City Phase II,1790.0,3.0,100.0,3
3759,Electronic City Phase II,769.0,2.0,40.0,2
3943,Electronic City Phase II,900.0,2.0,32.5,2
4237,Electronic City Phase II,993.0,2.0,50.0,3
4257,Electronic City Phase II,1418.0,3.0,52.47,3
4695,Electronic City Phase II,1070.0,2.0,45.0,2
4878,Electronic City Phase II,1140.0,2.0,33.06,2
4884,Electronic City Phase II,1089.0,2.0,32.67,2
5228,Electronic City Phase II,1031.0,2.0,55.0,2
5395,Electronic City Phase II,1253.0,2.0,65.8,2
5561,Electronic City Phase II,1160.0,2.0,33.5,2
5613,Electronic City Phase II,975.0,2.0,45.0,3
5641,Electronic City Phase II,6000.0,4.0,260.0,4
5673,Electronic City Phase II,1116.0,2.0,37.0,2
5806,Electronic City Phase II,1125.0,2.0,29.25,2
6033,Electronic City Phase II,1000.0,2.0,28.88,2
6036,Electronic City Phase II,1000.0,2.0,28.88,2
6087,Electronic City Phase II,1000.0,2.0,28.88,2
6172,Electronic City Phase II,1165.0,2.0,30.29,2
6256,Electronic City Phase II,3550.0,2.6926096474673513,167.5,4
6277,Electronic City Phase II,1031.0,2.0,53.0,2
6396,Electronic City Phase II,1065.0,2.0,30.88,2
6510,Electronic City Phase II,1549.0,3.0,80.0,3
6515,Electronic City Phase II,1065.0,2.0,56.13,2
6623,Electronic City Phase II,920.0,2.0,26.0,2
6737,Electronic City Phase II,1140.0,2.0,33.84,2
7056,Electronic City Phase II,1219.0,2.0,61.26,2
7295,Electronic City Phase II,1252.0,2.0,65.0,3
7431,Electronic City Phase II,1125.0,2.0,32.49,2
7654,Electronic City Phase II,1286.0,2.0,69.0,2
7754,Electronic City Phase II,1140.0,2.0,32.92,2
7799,Electronic City Phase II,1116.0,2.0,40.0,2
7864,Electronic City Phase II,1150.0,3.0,46.0,3
8105,Electronic City Phase II,1192.0,2.0,47.0,3
8303,Electronic City Phase II,1020.0,2.0,32.0,2
8321,Electronic City Phase II,1900.0,3.0,97.0,4
8344,Electronic City Phase II,1020.0,2.0,27.43,2
8603,Electronic City Phase II,1025.0,2.0,26.65,2
8850,Electronic City Phase II,1020.0,2.0,29.45,2
8875,Electronic City Phase II,1000.0,2.0,28.88,2
9446,Electronic City Phase II,1140.0,2.0,28.5,2
9752,Electronic City Phase II,1125.0,2.0,32.49,2
9757,Electronic City Phase II,1200.0,2.0,34.65,2
9779,Electronic City Phase II,1160.0,2.0,52.2,2
9808,Electronic City Phase II,1244.0,2.0,55.0,2
10139,Electronic City Phase II,1160.0,2.0,33.51,2
10303,Electronic City Phase II,972.0,2.0,40.0,2
10415,Electronic City Phase II,1160.0,2.0,33.51,2
10482,Electronic City Phase II,1090.0,2.0,31.48,2
10575,Electronic City Phase II,1140.0,2.0,32.92,2
10604,Electronic City Phase II,650.0,1.0,35.0,1
10675,Electronic City Phase II,1155.0,2.0,57.0,2
10699,Electronic City Phase II,1800.0,3.0,92.0,3
10830,Electronic City Phase II,1300.0,2.0,28.0,2
11104,Electronic City Phase II,1160.0,2.0,33.5,2
11225,Electronic City Phase II,1025.0,2.0,29.6,2
11274,Electronic City Phase II,829.0,2.0,22.8,2
11389,Electronic City Phase II,2187.5,4.0,105.0,4
11394,Electronic City Phase II,1252.0,2.0,67.0,2
11802,Electronic City Phase II,1125.0,2.0,32.63,2
11832,Electronic City Phase II,1140.0,2.0,34.0,2
12048,Electronic City Phase II,1252.0,2.0,65.0,3
12054,Electronic City Phase II,1135.0,2.0,46.0,2
12062,Electronic City Phase II,1305.0,3.0,65.0,3
12139,Electronic City Phase II,1165.0,2.0,33.64,2
12532,Electronic City Phase II,1336.0,2.0,50.35,3
12637,Electronic City Phase II,575.0,1.0,16.75,1
12673,Electronic City Phase II,925.0,2.0,49.82,3
12732,Electronic City Phase II,1065.0,2.0,30.76,2
12762,Electronic City Phase II,1065.0,2.0,30.75,2
12814,Electronic City Phase II,1140.0,2.0,33.06,2
12903,Electronic City Phase II,911.0,2.0,26.5,2
12910,Electronic City Phase II,1200.0,2.0,34.65,2
12974,Electronic City Phase II,1031.0,2.0,54.48,2
213,Electronics City Phase 1,1475.0,3.0,78.29,3
283,Electronics City Phase 1,1490.0,3.0,78.8,3
393,Electronics City Phase 1,1113.27,2.0,53.0,2
565,Electronics City Phase 1,1490.0,3.0,84.0,3
2865,Electronics City Phase 1,1015.0,2.0,56.0,2
3147,Electronics City Phase 1,1515.0,2.0,80.91,3
3202,Electronics City Phase 1,995.0,2.0,46.0,2
3296,Electronics City Phase 1,1555.0,2.0,82.0,3
3617,Electronics City Phase 1,1340.0,2.0,75.0,2
4072,Electronics City Phase 1,1124.0,2.0,55.0,3
4441,Electronics City Phase 1,1175.0,2.0,57.0,2
4685,Electronics City Phase 1,755.0,1.0,42.41,1
4861,Electronics City Phase 1,580.0,1.0,27.0,1
5072,Electronics City Phase 1,940.0,2.0,49.0,2
5355,Electronics City Phase 1,1335.0,2.0,67.0,2
5472,Electronics City Phase 1,1113.12,2.0,55.0,2
5863,Electronics City Phase 1,1350.0,3.0,71.0,3
6095,Electronics City Phase 1,995.0,2.0,49.8,2
6181,Electronics City Phase 1,635.0,1.0,26.0,1
6332,Electronics City Phase 1,1190.0,2.0,68.0,2
6547,Electronics City Phase 1,1450.0,3.0,72.54,3
6586,Electronics City Phase 1,360.0,1.0,16.9,1
6605,Electronics City Phase 1,638.0,1.0,32.0,1
6688,Electronics City Phase 1,1175.0,2.0,64.98,2
6691,Electronics City Phase 1,585.0,1.0,21.0,1
6792,Electronics City Phase 1,1200.0,2.0,59.76,2
7109,Electronics City Phase 1,1145.0,2.0,54.0,2
7529,Electronics City Phase 1,1125.0,2.0,65.0,2
7651,Electronics City Phase 1,1550.0,2.0,82.0,3
8482,Electronics City Phase 1,865.0,2.0,40.0,2
9218,Electronics City Phase 1,1800.0,3.0,93.0,3
9291,Electronics City Phase 1,1314.0,2.0,60.0,2
9630,Electronics City Phase 1,1170.0,2.0,62.0,2
9644,Electronics City Phase 1,1450.0,3.0,79.0,3
9690,Electronics City Phase 1,940.0,2.0,48.0,2
9937,Electronics City Phase 1,940.0,2.0,44.0,2
10097,Electronics City Phase 1,1300.0,2.0,67.0,2
10531,Electronics City Phase 1,1028.0,2.0,51.0,2
12396,Electronics City Phase 1,1205.0,2.0,60.0,2
12877,Electronics City Phase 1,1305.0,2.0,67.0,2
12893,Electronics City Phase 1,755.0,1.0,30.12,1
13106,Electronics City Phase 1,1175.0,2.0,60.0,2
1633,Frazer Town,1700.0,3.0,180.0,3
1892,Frazer Town,1870.0,3.0,185.0,3
2278,Frazer Town,1750.0,3.0,150.0,3
2434,Frazer Town,2000.0,3.0,200.0,3
2711,Frazer Town,3500.0,4.0,330.0,3
2986,Frazer Town,2350.0,4.0,285.0,3
3018,Frazer Town,1550.0,2.0,140.0,2
4013,Frazer Town,1900.0,4.0,145.0,3
4338,Frazer Town,2560.0,3.0,265.0,3
5537,Frazer Town,1559.0781144514767,3.0,180.0,3
5715,Frazer Town,2400.0,3.0,260.0,3
6084,Frazer Town,2560.0,3.0,288.0,3
6736,Frazer Town,1315.0,2.0,140.0,2
6820,Frazer Town,1706.0,3.0,154.0,3
7448,Frazer Town,2079.0,3.0,220.0,3
9228,Frazer Town,3100.0,3.0,400.0,3
